,rx,ry,rconfidence
0,136.229,185.598,0.377105
0,0.0,0.0,0.0
0,151.167,144.68,0.728106
0,155.085,138.194,0.791447
0,0.0,0.0,0.0
0,153.755,138.827,0.791359
0,149.221,147.898,0.786646
0,151.176,143.361,0.762238
0,177.799,122.604,0.427939
0,158.295,138.207,0.648449
0,152.481,144.041,0.695018
0,162.846,132.336,0.729947
0,0.0,0.0,0.0
0,151.173,144.048,0.735138
0,138.845,188.187,0.348868
0,153.098,143.396,0.762372
0,153.777,140.141,0.741479
0,162.219,134.295,0.676867
0,153.114,173.239,0.451592
0,138.826,184.295,0.474934
0,0.0,0.0,0.0
0,153.096,142.085,0.790457
0,0.0,0.0,0.0
0,155.062,138.852,0.761487
0,159.609,133.015,0.749685
0,0.0,0.0,0.0
0,153.785,140.126,0.773946
0,153.753,138.206,0.793299
0,0.0,0.0,0.0
0,139.479,188.192,0.376551
0,157.015,135.592,0.745571
0,155.063,138.177,0.748864
0,153.123,138.192,0.777345
0,0.0,0.0,0.0
0,174.561,130.385,0.525162
0,141.436,128.465,0.697916
0,154.419,137.537,0.787502
0,0.0,0.0,0.0
0,151.817,142.753,0.780859
0,153.098,142.741,0.821198
0,138.176,184.275,0.517218
0,152.45,144.022,0.730723
0,157.655,139.482,0.575668
0,153.787,139.498,0.746147
0,0.0,0.0,0.0
0,179.093,117.425,0.627771
0,153.133,142.084,0.791619
0,154.444,141.436,0.685518
0,156.358,138.162,0.768496
0,153.771,138.837,0.767376
0,154.42,138.84,0.758438
0,153.146,138.164,0.817952
0,153.787,142.744,0.792196
0,149.883,147.902,0.650184
0,179.105,125.193,0.502004
0,0.0,0.0,0.0
0,156.369,140.781,0.69459
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,152.47,142.087,0.792654
0,163.513,132.341,0.697484
0,0.0,0.0,0.0
0,149.883,143.404,0.720648
0,139.481,188.192,0.376048
0,151.171,145.973,0.729568
0,181.04,117.384,0.497774
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,179.775,122.608,0.560097
0,153.109,142.729,0.795936
0,179.078,125.187,0.627039
0,154.41,138.835,0.773601
0,0.0,0.0,0.0
0,152.466,143.413,0.769586
0,155.065,138.848,0.734103
0,155.069,138.189,0.772946
0,150.528,147.285,0.776942
0,0.0,0.0,0.0
0,155.716,138.181,0.772773
0,134.284,201.838,0.0506959
0,154.432,138.84,0.70612
0,171.315,118.049,0.689041
0,0.0,0.0,0.0
0,139.475,174.583,0.72945
0,171.949,136.876,0.550772
0,148.597,132.327,0.797329
0,175.854,118.06,0.658286
0,153.794,137.518,0.810393
0,161.557,132.312,0.684473
0,154.411,138.201,0.709622
0,151.179,143.412,0.737759
0,151.181,143.412,0.744661
0,149.88,143.407,0.745638
0,176.497,127.796,0.502715
0,160.907,122.623,0.730568
0,139.492,180.406,0.522744
0,149.217,149.882,0.791596
0,151.824,143.362,0.738016
0,143.36,125.206,0.718053
0,175.849,127.158,0.578769
0,151.823,143.363,0.745211
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.778,144.02,0.731441
0,138.181,189.472,0.406971
0,151.81,144.043,0.74268
0,178.443,118.051,0.577777
0,151.819,143.364,0.776419
0,151.183,143.391,0.752622
0,174.559,127.15,0.432505
0,158.328,137.51,0.731151
0,147.276,147.272,0.639423
0,0.0,0.0,0.0
0,153.14,138.839,0.797447
0,159.62,136.875,0.709867
0,156.368,138.168,0.735582
0,174.569,127.145,0.447876
0,151.822,149.882,0.633543
0,163.524,130.401,0.673109
0,138.199,184.954,0.42459
0,179.108,122.589,0.38557
0,155.088,137.512,0.712611
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.756,141.424,0.727145
0,152.473,144.043,0.74863
0,0.0,0.0,0.0
0,158.326,132.331,0.698658
0,0.0,0.0,0.0
0,169.357,137.509,0.485227
0,149.215,147.896,0.814215
0,151.179,143.356,0.738988
0,149.88,148.601,0.763844
0,137.539,185.602,0.377849
0,170.019,138.177,0.576665
0,138.194,188.825,0.401076
0,168.057,136.871,0.52645
0,160.26,136.873,0.651352
0,149.888,143.399,0.779193
0,174.543,132.323,0.429635
0,178.449,120.002,0.452811
0,155.076,138.213,0.738821
0,117.383,120.653,0.571216
0,0.0,0.0,0.0
0,155.064,140.123,0.752497
0,155.714,138.855,0.727343
0,173.259,137.514,0.546046
0,153.745,138.83,0.799263
0,156.369,142.078,0.770963
0,148.601,148.602,0.762232
0,148.596,147.258,0.72464
0,0.0,0.0,0.0
0,139.485,188.186,0.357093
0,184.307,118.059,0.483823
0,153.105,141.442,0.754998
0,153.764,141.438,0.746478
0,148.596,148.598,0.801389
0,178.449,121.297,0.443447
0,164.817,127.8,0.765359
0,160.27,122.583,0.742571
0,147.941,149.89,0.755307
0,155.081,138.173,0.740028
0,148.587,148.594,0.805629
0,152.472,144.034,0.733653
0,136.88,188.832,0.427205
0,152.45,143.364,0.767381
0,158.961,138.193,0.745206
0,154.429,138.176,0.80223
0,181.042,122.597,0.593251
0,155.065,138.832,0.751804
0,150.532,146.628,0.715541
0,0.0,0.0,0.0
0,142.071,162.85,0.787995
0,151.811,143.357,0.773884
0,147.932,152.469,0.794372
0,138.189,182.34,0.467519
0,171.964,137.527,0.535568
0,151.816,143.371,0.749314
0,179.767,122.609,0.606979
0,153.102,142.059,0.789715
0,160.915,136.241,0.604341
0,153.798,140.79,0.685048
0,0.0,0.0,0.0
0,153.754,138.84,0.798768
0,154.418,138.214,0.752274
0,149.877,147.269,0.789718
0,180.409,122.595,0.563234
0,0.0,0.0,0.0
0,153.755,143.389,0.805626
0,154.418,138.208,0.67103
0,158.967,137.512,0.755656
0,177.147,118.704,0.579506
0,144.678,160.267,0.748304
0,153.748,139.493,0.724806
0,164.81,128.462,0.708088
0,117.375,132.326,0.802781
0,158.339,137.543,0.772166
0,148.592,149.222,0.79324
0,155.076,138.188,0.733997
0,147.904,151.835,0.747399
0,163.501,132.991,0.697211
0,156.373,137.56,0.751092
0,156.378,136.235,0.730823
0,0.0,0.0,0.0
0,179.099,118.042,0.610784
0,0.0,0.0,0.0
0,186.236,111.577,0.551127
0,138.199,183.635,0.452457
0,151.172,148.559,0.797281
0,150.524,144.695,0.731996
0,158.973,136.866,0.658729
0,137.547,179.759,0.550724
0,150.525,148.583,0.757408
0,138.178,181.704,0.475537
0,147.95,152.465,0.780642
0,0.0,0.0,0.0
0,151.161,143.402,0.771284
0,153.768,146.636,0.746396
0,179.737,119.358,0.517996
0,152.481,140.775,0.766282
0,162.859,142.091,0.446551
0,153.798,142.738,0.7844
0,147.904,153.104,0.758681
0,147.258,153.757,0.758468
0,154.426,137.522,0.783872
0,115.455,122.589,0.577759
0,130.389,134.288,0.725188
0,0.0,0.0,0.0
0,177.145,127.796,0.5345
0,147.935,154.415,0.827263
0,153.791,140.129,0.754837
0,153.751,140.786,0.738803
0,179.73,122.619,0.512779
0,153.135,140.784,0.760161
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,151.825,142.748,0.782298
0,149.242,145.966,0.730618
0,0.0,0.0,0.0
0,138.836,183.641,0.441854
0,158.335,138.164,0.771313
0,0.0,0.0,0.0
0,135.587,194.695,0.0724103
0,153.78,138.217,0.760454
0,153.784,140.126,0.751345
0,153.145,140.145,0.773108
0,147.935,149.246,0.798574
0,155.067,137.549,0.73987
0,148.574,148.6,0.817774
0,169.352,138.208,0.515213
0,159.613,136.866,0.710661
0,174.56,122.605,0.475009
0,157.028,137.552,0.697503
0,142.071,184.302,0.416213
0,151.828,144.053,0.733587
0,153.757,138.827,0.743262
0,154.431,140.129,0.737872
0,151.818,143.362,0.740466
