,lx,ly,lconfidence
0,170.022,143.363,0.535447
0,178.452,138.2,0.345037
0,154.438,153.099,0.246582
0,164.166,152.48,0.0744547
0,0.0,0.0,0.0
0,172.605,138.186,0.238465
0,0.0,0.0,0.0
0,173.244,138.202,0.453895
0,158.313,155.719,0.117716
0,179.753,138.178,0.549974
0,162.868,162.869,0.105889
0,178.453,138.847,0.564059
0,164.152,144.021,0.362707
0,173.916,142.088,0.319611
0,0.0,0.0,0.0
0,172.612,139.49,0.410996
0,164.829,147.932,0.235989
0,0.0,0.0,0.0
0,178.447,146.627,0.119502
0,180.416,138.183,0.612632
0,164.155,145.97,0.220783
0,149.881,173.916,0.0693835
0,169.351,142.07,0.0923056
0,176.508,138.829,0.426227
0,163.522,153.129,0.0934782
0,169.376,143.393,0.403913
